Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,066160,1900,06,244.6,Y
IDCJAC0001,066160,1900,07,316.6,Y
IDCJAC0001,066160,1900,08,19.1,Y
IDCJAC0001,066160,1900,09,68.3,Y
IDCJAC0001,066160,1900,10,16.1,Y
IDCJAC0001,066160,1900,11,178.2,Y
IDCJAC0001,066160,1900,12,53.7,Y
IDCJAC0001,066160,1901,01,82.5,Y
IDCJAC0001,066160,1901,02,49.2,Y
IDCJAC0001,066160,1901,03,111.5,Y
IDCJAC0001,066160,1901,04,301.2,Y
IDCJAC0001,066160,1901,05,36.5,Y
IDCJAC0001,066160,1901,06,26.1,Y
IDCJAC0001,066160,1901,07,95.6,Y
IDCJAC0001,066160,1901,08,143.0,Y
IDCJAC0001,066160,1901,09,79.7,Y
IDCJAC0001,066160,1901,10,46.6,Y
IDCJAC0001,066160,1901,11,33.1,Y
IDCJAC0001,066160,1901,12,13.3,Y
IDCJAC0001,066160,1902,01,56.8,Y
IDCJAC0001,066160,1902,02,9.5,Y
IDCJAC0001,066160,1902,03,66.6,Y
IDCJAC0001,066160,1902,04,80.6,Y
IDCJAC0001,066160,1902,05,43.5,Y
IDCJAC0001,066160,1902,06,36.3,Y
IDCJAC0001,066160,1902,07,314.5,Y
IDCJAC0001,066160,1902,08,148.6,Y
IDCJAC0001,066160,1902,09,45.3,Y
IDCJAC0001,066160,1902,10,255.0,Y
IDCJAC0001,066160,1902,11,89.7,Y
IDCJAC0001,066160,1902,12,55.9,Y
IDCJAC0001,066160,1903,01,42.0,Y
IDCJAC0001,066160,1903,02,31.1,Y
IDCJAC0001,066160,1903,03,97.5,Y
IDCJAC0001,066160,1903,04,55.5,Y
IDCJAC0001,066160,1903,05,108.1,Y
IDCJAC0001,066160,1903,06,38.5,Y
IDCJAC0001,066160,1903,07,157.1,Y
IDCJAC0001,066160,1903,08,154.2,Y
IDCJAC0001,066160,1903,09,122.6,Y
IDCJAC0001,066160,1903,10,98.8,Y
IDCJAC0001,066160,1903,11,64.2,Y
IDCJAC0001,066160,1903,12,112.8,Y
IDCJAC0001,066160,1904,01,57.3,Y
IDCJAC0001,066160,1904,02,99.8,Y
IDCJAC0001,066160,1904,03,143.4,Y
IDCJAC0001,066160,1904,04,354.9,Y
IDCJAC0001,066160,1904,05,159.1,Y
IDCJAC0001,066160,1904,06,4.6,Y
IDCJAC0001,066160,1904,07,281.0,Y
IDCJAC0001,066160,1904,08,51.7,Y
IDCJAC0001,066160,1904,09,37.9,Y
IDCJAC0001,066160,1904,10,66.4,Y
IDCJAC0001,066160,1904,11,13.1,Y
IDCJAC0001,066160,1904,12,18.9,Y
IDCJAC0001,066160,1905,01,32.7,Y
IDCJAC0001,066160,1905,02,92.6,Y
IDCJAC0001,066160,1905,03,232.5,Y
IDCJAC0001,066160,1905,04,128.0,Y
IDCJAC0001,066160,1905,05,164.7,Y
IDCJAC0001,066160,1905,06,54.7,Y
IDCJAC0001,066160,1905,07,12.0,Y
IDCJAC0001,066160,1905,08,16.6,Y
IDCJAC0001,066160,1905,09,74.2,Y
IDCJAC0001,066160,1905,10,70.8,Y
IDCJAC0001,066160,1905,11,20.6,Y
IDCJAC0001,066160,1905,12,60.1,Y
IDCJAC0001,066160,1906,01,61.0,Y
IDCJAC0001,066160,1906,02,12.4,Y
IDCJAC0001,066160,1906,03,137.0,Y
IDCJAC0001,066160,1906,04,37.1,Y
IDCJAC0001,066160,1906,05,249.4,Y
IDCJAC0001,066160,1906,06,58.8,Y
IDCJAC0001,066160,1906,07,5.6,Y
IDCJAC0001,066160,1906,08,123.9,Y
IDCJAC0001,066160,1906,09,41.9,Y
IDCJAC0001,066160,1906,10,46.4,Y
IDCJAC0001,066160,1906,11,132.1,Y
IDCJAC0001,066160,1906,12,41.3,Y
IDCJAC0001,066160,1907,01,74.5,Y
IDCJAC0001,066160,1907,02,61.2,Y
IDCJAC0001,066160,1907,03,215.9,Y
