Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,066160,1900,null,null,null,null,null,244.6,316.6,19.1,68.3,16.1,178.2,53.7,null
IDCJAC0001,066160,1901,82.5,49.2,111.5,301.2,36.5,26.1,95.6,143.0,79.7,46.6,33.1,13.3,1018.3
IDCJAC0001,066160,1902,56.8,9.5,66.6,80.6,43.5,36.3,314.5,148.6,45.3,255.0,89.7,55.9,1202.3
IDCJAC0001,066160,1903,42.0,31.1,97.5,55.5,108.1,38.5,157.1,154.2,122.6,98.8,64.2,112.8,1082.4
IDCJAC0001,066160,1904,57.3,99.8,143.4,354.9,159.1,4.6,281.0,51.7,37.9,66.4,13.1,18.9,1288.1
IDCJAC0001,066160,1905,32.7,92.6,232.5,128.0,164.7,54.7,12.0,16.6,74.2,70.8,20.6,60.1,959.5
IDCJAC0001,066160,1906,61.0,12.4,137.0,37.1,249.4,58.8,5.6,123.9,41.9,46.4,132.1,41.3,946.9
IDCJAC0001,066160,1907,74.5,61.2,215.9,44.2,43.9,256.2,13.0,8.7,8.4,15.1,42.0,44.5,827.6
IDCJAC0001,066160,1908,42.7,177.1,59.5,83.1,83.1,26.3,300.5,264.5,90.3,36.4,18.7,31.3,1213.5
IDCJAC0001,066160,1909,45.5,204.5,41.4,46.1,30.8,106.8,31.3,54.3,135.2,50.2,77.4,88.0,911.5
IDCJAC0001,066160,1910,132.8,19.8,177.5,78.0,81.6,75.9,219.5,6.6,47.0,79.4,2.6,216.7,1137.4
IDCJAC0001,066160,1911,361.9,125.8,52.0,66.0,45.8,5.3,138.1,236.8,34.7,27.0,51.3,67.3,1212.0
IDCJAC0001,066160,1912,37.5,161.5,186.7,116.6,97.8,59.4,288.5,39.5,11.5,26.9,105.0,59.3,1190.2
IDCJAC0001,066160,1913,21.8,38.8,213.6,235.0,383.8,260.5,171.0,4.9,42.7,28.9,15.0,6.6,1422.6
IDCJAC0001,066160,1914,20.0,37.0,228.5,38.9,88.2,186.9,282.6,62.9,160.3,173.5,68.5,221.3,1568.6
IDCJAC0001,066160,1915,48.9,32.7,78.4,336.5,136.3,46.5,156.7,38.1,28.5,30.7,1.3,69.3,1003.9
IDCJAC0001,066160,1916,38.7,75.8,58.5,124.3,34.9,51.0,88.0,85.5,153.2,319.9,81.8,84.3,1195.9
IDCJAC0001,066160,1917,87.3,231.7,24.1,334.7,109.5,195.7,10.6,32.4,142.4,134.7,194.3,46.3,1543.7
IDCJAC0001,066160,1918,273.4,106.9,95.8,178.6,13.7,11.9,224.6,80.2,105.9,23.5,42.2,36.1,1192.8
IDCJAC0001,066160,1919,35.7,111.2,115.2,90.4,574.1,63.8,58.0,15.1,93.0,100.9,76.1,82.7,1416.2
