year, mo,    data-type, region, extent,   area
1979,  6,      Goddard,      S,  14.19,  11.22
1980,  6,      Goddard,      S,  12.49,   9.58
1981,  6,      Goddard,      S,  13.11,  10.16
1982,  6,      Goddard,      S,  13.42,  10.50
1983,  6,      Goddard,      S,  12.64,   9.77
1984,  6,      Goddard,      S,  13.23,  10.64
1985,  6,      Goddard,      S,  13.43,  10.51
1986,  6,      Goddard,      S,  12.69,   9.72
1987,  6,      Goddard,      S,  12.68,   9.91
1988,  6,      Goddard,      S,  13.09,  10.28
1989,  6,      Goddard,      S,  13.58,  10.81
1990,  6,      Goddard,      S,  13.08,  10.35
1991,  6,      Goddard,      S,  13.07,   9.99
1992,  6,      Goddard,      S,  12.81,  10.00
1993,  6,      Goddard,      S,  13.15,  10.37
1994,  6,      Goddard,      S,  13.56,  10.73
1995,  6,      Goddard,      S,  13.29,  10.46
1996,  6,      Goddard,      S,  13.87,  11.09
1997,  6,      Goddard,      S,  13.12,  10.22
1998,  6,      Goddard,      S,  13.31,  10.34
1999,  6,      Goddard,      S,  13.65,  10.83
2000,  6,      Goddard,      S,  13.89,  11.04
2001,  6,      Goddard,      S,  13.42,  10.56
2002,  6,      Goddard,      S,  12.38,   9.70
2003,  6,      Goddard,      S,  13.99,  11.16
2004,  6,      Goddard,      S,  13.78,  10.89
2005,  6,      Goddard,      S,  13.29,  10.31
2006,  6,      Goddard,      S,  13.34,  10.58
2007,  6,      Goddard,      S,  13.29,  10.48
2008,  6,      Goddard,      S,  14.06,  11.40
2009,  6,      Goddard,      S,  13.91,  11.09
2010,  6,      Goddard,      S,  14.41,  11.65
2011,  6,      Goddard,      S,  13.33,  10.54
2012,  6,      Goddard,      S,  13.55,  10.79
2013,  6,      Goddard,      S,  14.15,  11.27
2014,  6,      Goddard,      S,  14.69,  12.06
2015,  6,      Goddard,      S,  14.47,  11.48
2016,  6,      Goddard,      S,  13.24,  10.61
2017,  6,      Goddard,      S,  12.41,   9.80
2018,  6,      Goddard,      S,  12.89,  10.23
2019,  6,      Goddard,      S,  12.25,   9.75
2020,  6,      NRTSI-G,      S,  13.22,  10.55
